id,dll_name,dll_path,file_size,md5_hash,interface_type,device_capabilities,communication_protocols,configuration_hints,confidence_score,analysis_method,timestamp
10,JsdCalibration.dll,IntraoralScan/Bin/JsdCalibration.dll,1095680,1c6988d71a590cf30d2b1537133ea18f,calibration_interface,"[""stream: custreambatchmemop"", ""sync: cudamemcpyfromarrayasync"", ""buffer: cudad3d9mapvertexbuffer"", ""sync: cudamemcpy2dtoarrayasync"", ""sync: cudamemcpy2dasync_ptsz"", ""sync: cudamemsetasync_ptsz"", ""stream: cudastreamiscapturing"", ""stream: .?av?$basic_ostream@du?$char_traits@d@std@@@std@@"", ""stream: operation not permitted on an event last recorded in a capturing stream"", ""sync: cudawaitexternalsemaphoresasync_ptsz"", ""stream: cuctxgetstreampriorityrange"", ""buffer: cudad3d9unregistervertexbuffer"", ""sync: cumemcpy3dasync_v2"", ""stream: ?sync@?$basic_streambuf@du?$char_traits@d@std@@@std@@meaahxz"", ""stream: cudaerrorstreamcapturemerge"", ""depth: output/depthtwonew"", ""depth: first depth image plane calib failed"", ""sync: cumemcpy3dpeerasync"", ""stream: ?uflow@?$basic_streambuf@du?$char_traits@d@std@@@std@@meaahxz"", ""calibration: calibration box""]","[""Camera"", ""PCIe"", ""Ethernet"", ""SPI""]","[""cudaErrorInvalidTextureBinding"", ""cuD3D9UnmapResources"", ""the success ratio is less than 50% !!!"", ""device doesn't have valid Grid license"", ""cudaErrorInvalidAddressSpace"", ""cudaErrorInvalidValue"", "".nv.constant2._ZN21Sn3DAlgorithmJsdCalib20pick_line_cen_kernelEN16Sn3DGPUAlgorithm9PtrStepSzIfEES2_fiS2_"", ""cuD3D10GetDevices"", ""third depth image plane calib failed"", ""cudaD3D9ResourceGetMappedPointer"", ""$_ZN21Sn3DAlgorithmJsdCalib20pick_line_cen_kernelEN16Sn3DGPUAlgorithm9PtrStepSzIfEES2_fiS2_$__cuda_sm3x_div_rn_noftz_f32"", ""cudaDeviceGetAttribute"", ""cudaD3D10ResourceGetMappedSize"", ""cuD3D10ResourceGetMappedPitch_v2"", ""cuD3D9CtxCreateOnDevice""]",0.6,string_analysis,2025-08-15 17:23:03
9,ITKIOImageBase-5.2.dll,IntraoralScan/Bin/ITKIOImageBase-5.2.dll,197632,25974f77a1af87f5a486ae7fee5eddb7,camera_interface,"[""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@k@z"", ""stream: ?usestreamedwritingon@imageiobase@itk@@ueaaxxz"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@_n@z"", ""stream: ??6itk@@yaaeav?$basic_ostream@du?$char_traits@d@std@@@std@@aeav12@w4iopixel@commonenums@0@@z"", ""stream: usestreamedwriting: off"", ""stream: ??0streamingimageiobase@itk@@ieaa@xz"", ""stream: ?_pninc@?$basic_streambuf@du?$char_traits@d@std@@@std@@ieaapeadxz"", ""stream: ??1?$basic_iostream@du?$char_traits@d@std@@@std@@ueaa@xz"", ""resolution: ?roi_z_resolution@itk@@3qebdeb"", ""stream: ?_lock@?$basic_streambuf@du?$char_traits@d@std@@@std@@ueaaxxz"", ""sync: ?sync@?$basic_streambuf@du?$char_traits@d@std@@@std@@meaahxz"", ""resolution: ?roi_y_resolution@itk@@3qebdeb"", ""stream: usestreamedreading: off"", ""stream: usestreamedwriting: on"", ""stream: usestreamedreading: on"", ""stream: ?sputn@?$basic_streambuf@du?$char_traits@d@std@@@std@@qeaa_jpebd_j@z"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@p6aaeav01@aeav01@@z@z"", ""stream: .?av?$basic_ostream@du?$char_traits@d@std@@@std@@"", ""resolution: ?roi_x_resolution@itk@@3qebdeb"", ""stream: ??5?$basic_istream@du?$char_traits@d@std@@@std@@qeaaaeav01@aeam@z""]","[""Ethernet"", ""SPI""]","[""?_Xlength_error@std@@YAXPEBD@Z"", ""): Error reading in ReadBufferAsBinary!"", ""Error ImageIO factory did not return an ImageIOBase:"", ""?_Throw_C_error@std@@YAXH@Z"", ""GetLastError"", ""RegularExpression::find(): Internal error -- memory corrupted."", ""RegularExpression::compile(): Error in compile."", ""Error compiling regular expression"", ""RegularExpression::find(): Internal error -- corrupted pointers."", ""diffusion_tensor_3D"", ""RegularExpression::compile(): Internal error."", ""SetLastError"", ""ITK ERROR:"", ""cm RegularExpression::find(): Internal error."", ""): Error reading in WriteBufferAsBinary!""]",0.6,string_analysis,2025-08-15 17:23:03
62,SnDXGICapturePlugin.dll,IntraoralScan/Bin/SnDXGICapturePlugin.dll,28672,d4d80dede89fd4326f9eece4deeb9b38,camera_interface,"[""frame: __cxxframehandler3""]","[""SPI""]","[""init adapter failed"", ""D3D11CreateDevice"", ""init dxgi device failed"", ""enum outputs failed"", ""init desk source failed"", ""create texture2d failed"", ""duplicate dxgi output failed"", ""init stagingSurf failed"", ""create d3d device falied"", ""map data failed"", ""init dxgi output failed""]",0.6,string_analysis,2025-08-15 17:23:03
71,imageTestTool.dll,IntraoralScan/Bin/imageTestTool.dll,881664,0c71932d8803cbf6528bfe4324ba8e99,camera_interface,"[""stream: custreambegincapture_ptsz"", ""sync: cudadevicesynchronize"", ""sync: cudasignalexternalsemaphoresasync_ptsz"", ""sync: cudawaitexternalsemaphoresasync_v2"", ""stream: custreambatchmemop"", ""sync: cudamemcpyfromarrayasync"", ""buffer: cudad3d9mapvertexbuffer"", ""sync: cudasignalexternalsemaphoresasync_v2"", ""buffer: cudaglmapbufferobjectasync"", ""buffer: cuglsetbufferobjectmapflags"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@_n@z"", ""stream: cudaeglstreamconsumerconnectwithflags"", ""depth: d:\\jenkins\\workspace\\snalgdepthreconstruction@2\\buildcuda112\\release\\imagetesttool.pdb"", ""sync: cumemprefetchasync_ptsz"", ""stream: custreamwaitevent_ptsz"", ""sync: cudafreeasync_ptsz"", ""buffer: cuglunregisterbufferobject"", ""stream: cudastreamsynchronize"", ""stream: ?_pninc@?$basic_streambuf@du?$char_traits@d@std@@@std@@ieaapeadxz"", ""stream: ??1?$basic_iostream@du?$char_traits@d@std@@@std@@ueaa@xz""]","[""Camera"", ""PCIe"", ""Ethernet"", ""SPI""]","[""cudaErrorInvalidTextureBinding"", "".nv.constant0._ZN26Sn3DAlgorithmImageTestTool32cudaExtractLineCenDepthKernelNewEN16Sn3DGPUAlgorithm9PtrStepSzIfEES2_NS1_IiEENS1_I6float2EENS0_5PtrSzIiEENS6_I4int3EE"", ""cuD3D9UnmapResources"", ""_ZN26Sn3DAlgorithmImageTestTool42cudaExtractLineCenDepthKernel_crosscurveZXEN16Sn3DGPUAlgorithm9PtrStepSzIfEES2_S2_NS1_IiEENS1_I6float2EENS0_5PtrSzIiEENS6_I4int3EEb"", ""device doesn't have valid Grid license"", ""cudaErrorInvalidAddressSpace"", ""cudaErrorInvalidValue"", ""cuD3D10GetDevices"", ""cudaD3D9ResourceGetMappedPointer"", ""cudaDeviceGetAttribute"", ""cudaD3D10ResourceGetMappedSize"", ""cuD3D10ResourceGetMappedPitch_v2"", ""cuD3D9CtxCreateOnDevice"", "".nv.info._ZN26Sn3DAlgorithmImageTestTool42cudaExtractLineCenDepthKernel_crosscurveZXEN16Sn3DGPUAlgorithm9PtrStepSzIfEES2_S2_NS1_IiEENS1_I6float2EENS0_5PtrSzIiEENS6_I4int3EEb"", ""_ZN26Sn3DAlgorithmImageTestTool15result_mapping2EN16Sn3DGPUAlgorithm9PtrStepSzIiEENS1_I6float2EENS0_5PtrSzIS3_EENS5_IiEE""]",0.6,string_analysis,2025-08-15 17:23:03
82,snCameraControl.dll,IntraoralScan/Bin/snCameraControl.dll,78848,9d44f7cea632634602b370c2a005b668,camera_interface,"[""resolution: ?getresolutionbyindex@sncameracontrol@@sa_nhhaeah0@z"", ""buffer: ?clearbuffers@sncameracontrol@@saxh@z"", ""stream: error: could not connect pins - renderstream()"", ""timestamp: camera reset timestamp failed, error: %ld(procamp: 0x%x param: %d)"", ""resolution: %x resolution_%d: w=%d h=%d"", ""gain: query interface for query gain not exist"", ""resolution: sncameracontrol::getresolutionbyindex cost: %d ms"", ""gain: sncameracontrol::getcameraproperty[gainmx] cost: %d ms"", ""resolution: sncameracontrol::getcurresolutionindex cost: %d ms"", ""resolution: ?enumresolution@sncameracontrol@@sa_nhaeah@z"", ""resolution: ?getcurresolutionindex@sncameracontrol@@sa_nhaeah@z"", ""frame: error: getpixels() - unable to grab frame for device %i"", ""gain: sncameracontrol::setcameraproperty[rgbgain] cost: %d ms"", ""gain: sncameracontrol::getcameraproperty[gainmin] cost: %d ms"", ""gain: get gain failed"", ""gain: sncameracontrol::getcameraproperty[rgbgain] cost: %d ms"", ""gain: set pu gain failed, hr:%x!"", ""resolution: sncameracontrol::setresolutionbyindex cost: %d ms"", ""resolution: sncameracontrol::enumresolution cost: %d ms"", ""buffer: error: getpixels() - buffersizes do not match!""]","[""Serial"", ""Camera"", ""USB"", ""SPI""]","[""snCameraControl::resetdevice cost: %d ms"", ""ERROR - Could not find specified video device, 0x%x"", ""Camera Reset TimeStamp Failed, Error: %ld(ProcAmp: 0x%x Param: %d)"", ""ERROR: Couldn't getFormat for pAmMediaType!"", ""Get PU licensecode failed,%x"", ""videoInput::setupDevice - before setup function"", ""SETUP: this means that the last device you can use is device[%i]"", ""snCameraControl::GetCameraProperty[GainMx] cost: %d ms"", ""CreateClassEnumerator failed, ret:%d"", ""camera %d Unable to Create pUnkOuter instance %x."", ""erase device graph failed"", ""Camera %d HUE: %ld"", ""SETUP: Device is setup and ready to capture."", ""snCameraControl::GetCameraProperty[Gain] cost: %d ms"", ""snCameraControl::GetCameraProperty[Gamms] cost: %d ms""]",0.6,string_analysis,2025-08-15 17:23:03
3,CommunicateLayer.dll,IntraoralScan/Bin/CommunicateLayer.dll,55808,9e70cabe5908a6326a909a385e286f2a,communication_interface,"[""stream: ?driverstreamswitch@communicatelayer@@yakpeax_n@z"", ""stream: ?datastreamlock@communicatelayer@@yakpeax_n@z"", ""buffer: send bulk buffer failed, error: 0x%x"", ""frame: __cxxframehandler3"", ""stream: ?receiveimagestream@communicatelayer@@yakpeaxpeaeaeai@z"", ""frame: ?discarddriverframecaches@communicatelayer@@yakpeax@z""]","[""Ethernet"", ""Serial""]","[""attachDevice: not exist specified device"", ""Start add new node to device map"", ""send command line error: %d"", ""send bulk buffer failed, error: 0x%x"", ""send command line error, errorcode:%d LastErr:%d"", ""finish enumDevice"", ""Device:%s offline"", ""DeviceIOControl Failed, Error:%d"", ""SetupDiGetClassDevs failed"", ""getOnlineDeviceSerial failed - TimeOut"", ""SetupDiGetDeviceInterfaceDetailW"", ""End add new node to device map"", ""receive bulk reply failed, error: 0x%x"", ""enumDevice failed, error:%d"", ""write file timeout, error: 0x%x""]",0.6,string_analysis,2025-08-15 17:23:03
6,DentalCommonTool.dll,IntraoralScan/Bin/DentalCommonTool.dll,74240,701ebb42938f4d2141fc0870707a8f1a,communication_interface,"[""resolution: ?setscreenresolution@piwiktracker@@qeaaxvqstring@@@z"", ""frame: __cxxframehandler3""]","[""Ethernet"", ""SPI""]","[""void __cdecl CfgMgrBase::setCfgError(unsigned int,bool,bool,class QString)"", ""NetworkError"", ""?replyError@PiwikTracker@@IEAAXW4NetworkError@QNetworkReply@@@Z"", ""errorCode:"", ""Network error code:"", ""1ignoreSslErrors()"", ""?lastError@SnEObject@@QEBAIXZ"", ""?rawLastError@EClassBase@@QEBAIXZ"", ""QNetworkReply::NetworkError"", ""replyError"", ""?setLastError@EObjectBase@@IEBAXI@Z"", ""tipErrorCode"", ""?lastError@EObjectBase@@QEBAIXZ"", ""1replyError(QNetworkReply::NetworkError)"", ""2error(QNetworkReply::NetworkError)""]",0.6,string_analysis,2025-08-15 17:23:03
8,ITKCommon-5.2.dll,IntraoralScan/Bin/ITKCommon-5.2.dll,973312,a3ae70e373021e3965007295325108b0,communication_interface,"[""timestamp: itk::loggerbaseenums::timestampformat::humanreadable"", ""resolution: ??_7multiresolutioniterationevent@itk@@6b@"", ""resolution: ?checkevent@multiresolutioniterationevent@itk@@ueba_npebveventobject@2@@z"", ""stream: ?new@stdstreamlogoutput@itk@@sa?av?$smartpointer@vstdstreamlogoutput@itk@@@2@xz"", ""stream: ??6itk@@yaaeav?$basic_ostream@du?$char_traits@d@std@@@std@@aeav12@aebvlightobject@0@@z"", ""stream: ?print@metadataobjectbase@itk@@uebaxaeav?$basic_ostream@du?$char_traits@d@std@@@std@@@z"", ""stream: ?printself@eventobject@itk@@mebaxaeav?$basic_ostream@du?$char_traits@d@std@@@std@@vindent@2@@z"", ""stream: ?printself@imageioregion@itk@@mebaxaeav?$basic_ostream@du?$char_traits@d@std@@@std@@vindent@2@@z"", ""timestamp: timestamp"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@p6aaeavios_base@1@aeav21@@z@z"", ""stream: ??5itk@@yaaeav?$basic_istream@du?$char_traits@d@std@@@std@@aeav12@aeavvmmapsummaryrecord@0@@z"", ""timestamp: ??9realtimestamp@itk@@qeba_naebv01@@z"", ""timestamp: f:\\filezdownload\\insighttoolkit-5.2.1\\modules\\core\\common\\src\\itkrealtimestamp.cxx"", ""stream: ??6itk@@yaaeav?$basic_ostream@du?$char_traits@d@std@@@std@@aeav12@w4iopixel@commonenums@0@@z"", ""resolution: ?geteventname@multiresolutioniterationevent@itk@@uebapebdxz"", ""stream: ?printself@threadlogger@itk@@mebaxaeav?$basic_ostream@du?$char_traits@d@std@@@std@@vindent@2@@z"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@_n@z"", ""timestamp: ??prealtimestamp@itk@@qeba_naebv01@@z"", ""timestamp: ?gettimeinhours@realtimestamp@itk@@qebanxz"", ""stream: ?_pninc@?$basic_streambuf@du?$char_traits@d@std@@@std@@ieaapeadxz""]","[""Ethernet"", ""SPI""]","[""MemoryAllocationError"", ""??0MemoryAllocationError@itk@@QEAA@AEBV01@@Z"", ""??4DataObjectError@itk@@QEAAAEAV01@AEBV01@@Z"", ""IncompatibleOperandsError"", "".?AV_Generic_error_category@std@@"", ""DynamicLoader encountered error 0x%X.  FormatMessage failed with error 0x%X"", ""): Error in thread creation !!!"", ""??4RangeError@itk@@QEAAAEAV01@AEBV01@@Z"", ""??0RangeError@itk@@QEAA@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z"", ""??_7DataObjectError@itk@@6B@"", ""??0InvalidRequestedRegionError@itk@@QEAA@PEBDI@Z"", ""ITK ERROR: RealTimeStamp can't go before the origin of time"", "".?AVInvalidRequestedRegionError@itk@@"", ""??0IncompatibleOperandsError@itk@@QEAA@XZ"", "".?AV_Future_error_category@std@@""]",0.6,string_analysis,2025-08-15 17:23:03
61,SnCommon.dll,IntraoralScan/Bin/SnCommon.dll,439296,033af517fa129b691368184741dfc3a5,communication_interface,"[""buffer: ?getblockputsize@filterwithbufferedinput@cryptopp@@meba_kxz"", ""buffer: ?createputspace@bufferedtransformation@cryptopp@@ueaapeaeaea_k@z"", ""buffer: ^\t?attachedtransformation@bufferedtransformation@cryptopp@@uebapebv12@xz"", ""buffer: ?getlastputsize@filterwithbufferedinput@cryptopp@@meba_kxz"", ""stream: ?readline@qtextstream@@qeaa?avqstring@@_j@z"", ""buffer: ?nextput@filterwithbufferedinput@cryptopp@@meaahpebe_k@z"", ""buffer: ??0basen_encoder@cryptopp@@qeaa@peavbufferedtransformation@1@@z"", ""buffer: ?get@bufferedtransformation@cryptopp@@ueaa_kpeae_k@z"", ""buffer: ?newdefaultattachment@filter@cryptopp@@mebapeavbufferedtransformation@2@xz"", ""buffer: ?getmaxwaitobjectcount@bufferedtransformation@cryptopp@@uebaixz"", ""buffer: `\t?attachedtransformation@filter@cryptopp@@uebapebvbufferedtransformation@2@xz"", ""frame: .?auiframeworkinputpanehandler@@"", ""buffer: .?av?$bufferless@vfilter@cryptopp@@@cryptopp@@"", ""buffer: ?setautosignalpropagation@bufferedtransformation@cryptopp@@ueaaxh@z"", ""stream: ?sputn@?$basic_streambuf@du?$char_traits@d@std@@@std@@qeaa_jpebd_j@z"", ""stream: ??6?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaaeav01@p6aaeav01@aeav01@@z@z"", ""buffer: .?av?$bufferless@vsink@cryptopp@@@cryptopp@@"", ""buffer: ?messageseriesend@bufferedtransformation@cryptopp@@ueaa_nh_n@z"", ""buffer: .?avfilterwithbufferedinput@cryptopp@@"", ""buffer: ?flush@bufferedtransformation@cryptopp@@ueaa_n_nh0@z""]","[""I2C"", ""Serial"", ""HID"", ""SPI"", ""Ethernet""]","[""TerminateProcess failed. Pid:"", ""backup failed:"", ""CoInitialize failed"", ""read backup success:"", ""creat dir failed:"", ""encrypt failed:"", ""delete backup file failed:"", ""checkWriteFileError:"", ""GetPerformanceInfo failed, last error:"", ""?lastError@SnEObject@@QEBAIXZ"", ""failed to create hToolHelp32Snapshot handle:"", ""Decryp file failed:"", ""checkReadFileError:"", ""lastErrorChanged"", ""encryp file failed:""]",0.6,string_analysis,2025-08-15 17:23:03
63,SnMITKCommon.dll,IntraoralScan/Bin/SnMITKCommon.dll,945152,919b664b4458975af434d81e968dacf3,communication_interface,"[""stream: custreambegincapture_ptsz"", ""sync: cudadevicesynchronize"", ""sync: cudasignalexternalsemaphoresasync_ptsz"", ""sync: cudawaitexternalsemaphoresasync_v2"", ""stream: custreambatchmemop"", ""sync: cudamemcpyfromarrayasync"", ""stream: ?_osfx@?$basic_ostream@du?$char_traits@d@std@@@std@@qeaaxxz"", ""buffer: cudad3d9mapvertexbuffer"", ""sync: cudasignalexternalsemaphoresasync_v2"", ""buffer: cudaglmapbufferobjectasync"", ""buffer: cuglsetbufferobjectmapflags"", ""stream: cudaeglstreamconsumerconnectwithflags"", ""sync: cumemprefetchasync_ptsz"", ""stream: custreamwaitevent_ptsz"", ""sync: cudafreeasync_ptsz"", ""buffer: cuglunregisterbufferobject"", ""stream: cudastreamsynchronize"", ""stream: custreamupdatecapturedependencies"", ""stream: custreamupdatecapturedependencies_ptsz"", ""stream: ?_pninc@?$basic_streambuf@du?$char_traits@d@std@@@std@@ieaapeadxz""]","[""Camera"", ""PCIe"", ""Ethernet"", ""SPI""]","[""cudaErrorInvalidTextureBinding"", ""cuD3D9UnmapResources"", ""cuD3D9ResourceGetMappedPitch"", ""device doesn't have valid Grid license"", ""cudaErrorInvalidAddressSpace"", ""cudaErrorInvalidValue"", ""cuD3D10GetDevices"", ""cudaD3D9ResourceGetMappedPointer"", ""cudaDeviceGetAttribute"", ""cudaD3D10ResourceGetMappedSize"", ""cuD3D10ResourceGetMappedPitch_v2"", ""cuD3D9CtxCreateOnDevice"", ""cuD3D10ResourceGetMappedArray"", ""cudaErrorLaunchMaxDepthExceeded"", ""cudaD3D10GetDevice""]",0.6,string_analysis,2025-08-15 17:23:03
