id,executable_id,endpoint_type,endpoint_name,direction,confidence_score,detection_method,context,analysis_timestamp,executable_name,exe_classification
6,1,sockets,void,,0.8999999999999999,string_analysis,void __cdecl PowerStatusMgr::checkPowerStatusConnect(void),2025-08-15T21:36:50.268119,IntraoralScan.exe,main_ui
39,3,sockets,int,,0.8999999999999999,string_analysis,bool __cdecl DeviceMgr::startAutoConnect(int),2025-08-15T21:36:51.008038,DentalScanAppLogic.exe,scanning_logic
40,3,sockets,int,,0.8999999999999999,string_analysis,bool __cdecl ApDeviceMgr::startAutoConnect(int),2025-08-15T21:36:51.008038,DentalScanAppLogic.exe,scanning_logic
41,3,sockets,class,,0.8999999999999999,string_analysis,void __cdecl ApDeviceMgr::selectWirelessDevAndConnect(class QList<class QVariant>),2025-08-15T21:36:51.008038,DentalScanAppLogic.exe,scanning_logic
50,5,sockets,void,,0.8999999999999999,string_analysis,void __cdecl BaseSubscriber::reConnect(void),2025-08-15T21:36:51.044629,DentalNetwork.exe,network_service
51,5,sockets,void,,0.8999999999999999,string_analysis,void __cdecl BaseSubscriber::stopReconnect(void),2025-08-15T21:36:51.044629,DentalNetwork.exe,network_service
10,1,events,CreateEvent,,0.8,string_analysis,CreateEventW,2025-08-15T21:36:50.268119,IntraoralScan.exe,main_ui
18,2,shared_memory,success,,0.8,string_analysis,CreateFileMapping success,2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
19,2,shared_memory,failed,,0.8,string_analysis,CreateFileMapping failed,2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
28,2,shared_memory,CreateFileMapping,,0.8,string_analysis,CreateFileMappingA,2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
32,2,events,CreateEvent,,0.8,string_analysis,CreateEventW,2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
45,3,events,CreateEvent,,0.8,string_analysis,CreateEventW,2025-08-15T21:36:51.008038,DentalScanAppLogic.exe,scanning_logic
55,5,events,CreateEvent,,0.8,string_analysis,CreateEventW,2025-08-15T21:36:51.044629,DentalNetwork.exe,network_service
5,1,sockets,const,,0.7999999999999999,string_analysis,"class ChainInvokeHelper *__cdecl CloudMgr::getDeviceBind(const class QString &,const class QString &)",2025-08-15T21:36:50.268119,IntraoralScan.exe,main_ui
11,2,shared_memory,createCalibImageFromShmIS,,0.6,string_analysis,"bool __cdecl CreateImagesSharedMemory::createCalibImageFromShmIS(const class QStringList &,const int,class CalibAlgoLogic::OnePosAllCamImage *)",2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
12,2,shared_memory,createCalibImageFromShmDS,,0.6,string_analysis,"bool __cdecl CreateImagesSharedMemory::createCalibImageFromShmDS(const class QStringList &,const int,class CalibAlgoLogic::OnePosAllCamImage *)",2025-08-15T21:36:50.595351,DentalAlgoService.exe,algorithm_service
