id,executable_id,endpoint_type,endpoint_value,protocol,port,confidence_score,detection_method,context,analysis_timestamp,executable_name,exe_classification
1,1,hostname,LocalHost:18830,tcp,18830.0,0.9,config_analysis,Main IPC tunnel: Dental,2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
2,1,port,:3000,http,3000.0,0.9,config_analysis,HTTP socket from system configuration,2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
3,1,port,:3001,http,3001.0,0.9,config_analysis,HTTP socket from system configuration,2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
185,1,unknown,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"">",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
186,1,unknown,"http://ns.adobe.com/xap/1.0/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
187,1,unknown,"http://purl.org/dc/elements/1.1/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
188,1,unknown,"http://ns.adobe.com/photoshop/1.0/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
189,1,unknown,"http://ns.adobe.com/xap/1.0/mm/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
190,1,unknown,"http://ns.adobe.com/xap/1.0/sType/ResourceEvent#""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
231,1,unknown,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"">",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
232,1,unknown,"http://ns.adobe.com/xap/1.0/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
233,1,unknown,"http://purl.org/dc/elements/1.1/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
234,1,unknown,"http://ns.adobe.com/photoshop/1.0/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
235,1,unknown,"http://ns.adobe.com/xap/1.0/mm/""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
236,1,unknown,"http://ns.adobe.com/xap/1.0/sType/ResourceEvent#""",,,0.9,hybrid_analysis,""" id=""W5M0MpCehiHzreSzNTczkc9d""?> <x:xmpmeta xmlns:x=""adobe:ns:meta/"" x:xmptk=""Adobe XMP Core 6.0-c006 79.dabacbb, 2021/04/14-00:39:44        ""> <rdf:RDF xmlns:rdf=""http://www.w3.org/1999/02/22-rdf-sy",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1102,1,unknown,"http://purl.org/dc/elements/1.1/""",,,0.9,hybrid_analysis,"xmlns:dc=""http://purl.org/dc/elements/1.1/""",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1207,1,unknown,"http://www.w3.org/2000/svg""",,,0.9,hybrid_analysis,"<svg data-v-85fa1fda="""" id=""svg"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" version=""1.1"" class=""svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:svgjs=""http://svgjs.com/svgjs"" style=",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1208,1,unknown,"http://www.w3.org/1999/xlink""",,,0.9,hybrid_analysis,"<svg data-v-85fa1fda="""" id=""svg"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" version=""1.1"" class=""svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:svgjs=""http://svgjs.com/svgjs"" style=",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1209,1,unknown,"http://svgjs.com/svgjs""",,,0.9,hybrid_analysis,"<svg data-v-85fa1fda="""" id=""svg"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" version=""1.1"" class=""svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:svgjs=""http://svgjs.com/svgjs"" style=",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
